S0622	S0622_19920	S0622_19920_2
S0346	S0346_35754	S0346_35754_1
S0624	S0624_11743	S0624_11743_2
S0160	S0160_15177	S0160_15177_2
S0630	S0630_45746	S0630_45746_2
S0351	S0351_10706	S0351_10706_1
S0588	S0588_11709	S0588_11709_1
S0625	S0625_37905	S0625_37905_1
S0288	S0288_58058	S0288_58058_1
S0624	S0624_33737	S0624_33737_1
S0352.2	S0352.2_27076	S0352.2_27076_1
S0624	S0624_45578	S0624_45578_1
S0253	S0253_23169	S0253_23169_1
S0630	S0630_98980	S0630_98980_2
S0629	S0629_20238	S0629_20238_2
S0612	S0612_29043	S0612_29043_1
S0288	S0288_38342	S0288_38342_1
S0625	S0625_25009	S0625_25009_2
S0622	S0622_66623	S0622_66623_2
S0255	S0255_23039	S0255_23039_1
S0588	S0588_5578	S0588_5578_2
S0386	S0386_18834	S0386_18834_2
S0011	S0011_44877	S0011_44877_1
S0163	S0163_9641	S0163_9641_3
S0379	S0379_20429	S0379_20429_1
S0594	S0594_36390	S0594_36390_2
S0257	S0257_32229	S0257_32229_1
S0475	S0475_91163	S0475_91163_2
S0622	S0622_63599	S0622_63599_2
S0334	S0334_22065	S0334_22065_1
S0068	S0068_36618	S0068_36618_1
S0318	S0318_48549	S0318_48549_2
S0583.2	S0583.2_24815	S0583.2_24815_1
S0624	S0624_33139	S0624_33139_1
S0431	S0431_32574	S0431_32574_2
S0622	S0622_41328	S0622_41328_1
S0630	S0630_127016	S0630_127016_1
S0630	S0630_77317	S0630_77317_2
S0475	S0475_129168	S0475_129168_1
S0057	S0057_37216	S0057_37216_1
S0629	S0629_13122	S0629_13122_3
S0294	S0294_15284	S0294_15284_2
S0288	S0288_47709	S0288_47709_1
S0295	S0295_34929	S0295_34929_1
S0630	S0630_66976	S0630_66976_2
S0160	S0160_60280	S0160_60280_1
S0617	S0617_83586	S0617_83586_2
S0031	S0031_31809	S0031_31809_2
S0288	S0288_31400	S0288_31400_2
S0594	S0594_28902	S0594_28902_2
S0628	S0628_27266	S0628_27266_1
S0319	S0319_35732	S0319_35732_2
S0474	S0474_101725	S0474_101725_1
S0496.2	S0496.2_64878	S0496.2_64878_1
S0603	S0603_18892	S0603_18892_1
S0105	S0105_15432	S0105_15432_1
S0538	S0538_30435	S0538_30435_2
S0336	S0336_41371	S0336_41371_1
S0517	S0517_20250	S0517_20250_1
S0177	S0177_31458	S0177_31458_1
S0595	S0595_16085	S0595_16085_2
S0163	S0163_45583	S0163_45583_1
S0579	S0579_35535	S0579_35535_1
S0583.2	S0583.2_44328	S0583.2_44328_1
S0295	S0295_35268	S0295_35268_1
S0123	S0123_42126	S0123_42126_3
S0163	S0163_26670	S0163_26670_3
S0619	S0619_11545	S0619_11545_1
S0160	S0160_55383	S0160_55383_1
S0612	S0612_27803	S0612_27803_1
S0576	S0576_15248	S0576_15248_3
S0591	S0591_14419	S0591_14419_1
S0027	S0027_31673	S0027_31673_3
